,record1
0,1332.2068010075566
1,1292.8657430730477
2,1270.3851385390428
3,1242.2843828715365
4,1201.5382871536524
5,1183.2727959697731
6,1194.5130982367757
7,1238.0692695214104
8,1285.8405541561713
9,1318.1564231738034
10,1339.2319899244333
11,1330.8017632241813
12,1283.0304785894205
13,1216.9937027707808
14,1224.0188916876573
15,1298.4858942065491
16,1415.1040302267002
17,1520.4818639798489
18,1596.3539042821158
19,1627.2647355163726
20,1624.454659949622
21,1590.7337531486146
22,1541.5574307304785
23,1512.051637279597
24,1482.5458438287153
25,1416.5090680100755
26,1354.6874055415617
27,1295.6758186397983
28,1249.309571788413
29,1239.4743073047857
30,1266.1700251889167
31,1280.2204030226699
32,1290.0556675062971
33,1295.6758186397983
34,1304.1060453400503
35,1337.826952141058
36,1387.0032745591939
37,1455.8501259445843
38,1489.5710327455918
39,1488.1659949622165
40,1465.6853904282116
41,1461.4702770780855
42,1457.2551637279596
43,1453.0400503778337
44,1468.4954659949622
45,1472.710579345088
46,1436.17959697733
47,1395.4335012594458
48,1368.7377833753148
49,1363.1176322418135
50,1343.4471032745591
51,1291.4607052896724
52,1239.4743073047857
53,1216.9937027707808
54,1193.1080604534004
55,1167.8173803526447
56,1148.1468513853904
57,1188.8929471032745
58,1264.7649874055414
59,1326.5866498740554
60,1378.5730478589421
61,1423.5342569269521
62,1444.6098236775817
63,1440.3947103274559
64,1417.9141057934507
65,1395.4335012594458
66,1379.9780856423174
67,1379.9780856423174
68,1372.9528967254407
69,1350.4722921914358
70,1315.3463476070528
71,1283.0304785894205
72,1268.9801007556675
73,1276.005289672544
74,1280.2204030226699
75,1273.1952141057934
76,1263.3599496221661
77,1268.9801007556675
78,1280.2204030226699
79,1298.4858942065491
80,1271.7901763224181
81,1221.2088161209067
82,1186.0828715365237
83,1163.6022670025188
84,1149.5518891687657
85,1143.9317380352645
86,1142.526700251889
87,1143.9317380352645
88,1156.5770780856424
89,1162.1972292191435
90,1174.8425692695214
91,1200.133249370277
92,1260.5498740554156
93,1343.4471032745591
94,1370.1428211586901
95,1358.9025188916876
96,1357.4974811083123
97,1365.9277078085643
98,1385.5982367758186
99,1415.1040302267002
100,1448.8249370277078
101,1506.4314861460957
102,1530.317128463476
103,1540.1523929471032
104,1562.6329974811083
105,1592.13879093199
106,1599.1639798488663
107,1590.7337531486146
108,1534.532241813602
109,1485.355919395466
110,1478.3307304785894
111,1486.7609571788412
112,1476.9256926952141
113,1447.4198992443323
114,1402.4586901763223
115,1367.3327455919396
116,1337.826952141058
117,1304.1060453400503
118,1259.1448362720403
119,1219.8037783375314
120,1200.133249370277
121,1187.4879093198992
122,1157.9821158690174
123,1143.9317380352645
124,1172.0324937027708
125,1221.2088161209067
126,1266.1700251889167
127,1326.5866498740554
128,1370.1428211586901
129,1396.8385390428211
130,1431.964483627204
131,1479.7357682619647
132,1530.317128463476
133,1542.9624685138538
134,1513.4566750629722
135,1454.445088161209
136,1402.4586901763223
137,1347.662216624685
138,1312.5362720403023
139,1288.6506297229218
140,1259.1448362720403
141,1205.7534005037783
142,1148.1468513853904
143,1136.9065491183878
144,1166.4123425692694
145,1193.1080604534004
146,1198.7282115869016
147,1202.9433249370277
148,1224.0188916876573
149,1232.4491183879093
150,1228.2340050377834
151,1194.5130982367757
152,1183.2727959697731
153,1194.5130982367757
154,1200.133249370277
155,1194.5130982367757
156,1204.348362720403
157,1246.4994962216624
158,1316.7513853904281
159,1377.1680100755666
160,1402.4586901763223
161,1416.5090680100755
162,1422.1292191435768
163,1424.9392947103274
164,1412.2939546599496
165,1382.788161209068
166,1361.7125944584382
167,1342.0420654911838
168,1335.0168765743072
169,1349.0672544080603
170,1388.4083123425692
171,1415.1040302267002
172,1410.8889168765743
173,1375.7629722921913
174,1333.6118387909319
175,1308.3211586901762
176,1288.6506297229218
177,1278.8153652392946
178,1291.4607052896724
179,1329.396725440806
180,1370.1428211586901
181,1378.5730478589421
182,1370.1428211586901
183,1372.9528967254407
184,1384.1931989924433
185,1402.4586901763223
186,1429.1544080604533
187,1448.8249370277078
188,1450.2299748110831
189,1438.9896725440806
190,1423.5342569269521
191,1396.8385390428211
192,1377.1680100755666
193,1375.7629722921913
194,1377.1680100755666
195,1372.9528967254407
196,1365.9277078085643
197,1371.5478589420654
198,1387.0032745591939
199,1413.6989924433249
200,1436.17959697733
201,1447.4198992443323
202,1465.6853904282116
203,1461.4702770780855
204,1451.6350125944584
205,1446.014861460957
206,1437.5846347607053
207,1416.5090680100755
208,1392.623425692695
209,1370.1428211586901
210,1358.9025188916876
211,1363.1176322418135
212,1353.2823677581864
213,1343.4471032745591
214,1387.0032745591939
215,1461.4702770780855
216,1519.0768261964736
217,1540.1523929471032
218,1528.9120906801006
219,1486.7609571788412
220,1440.3947103274559
221,1402.4586901763223
222,1379.9780856423174
223,1371.5478589420654
224,1347.662216624685
225,1322.3715365239293
226,1305.5110831234256
227,1312.5362720403023
228,1340.6370277078086
229,1406.6738035264484
